NAME,                  Nation,          FX,     PH,     SR,     VT,     PB,     HB
"Nazar Chepurnyi",     "UKRAINE",       13.500, NA,     NA,     14.633, 14.266, NA
"Illia Kovtun",        "UKRAINE",       NA,     14.966, 13.266, NA,     15.800, 14.400
"Igor Radivilov",      "UKRAINE",       NA,     NA,     14.500, 14.800, NA,     NA
"Radomyr Stelmakh",    "UKRAINE",       13.533, 13.733, NA,     NA,     NA,     13.833
"Oleg Verniaiev",      "UKRAINE",       14.000, 15.200, 14.100, 13.066, 14.833, 13.333
"Joe Fraser",          "GREAT BRITAIN", NA,     14.500, NA,     NA,     14.800, 13.133
"James Hall",          "GREAT BRITAIN", 14.033, 13.466, NA,     NA,     14.600, 13.800
"Harry Hepworth",      "GREAT BRITAIN", NA,     NA,     14.500, 15.000, NA,     NA
"Jake Jarman",         "GREAT BRITAIN", 14.600, 14.066, 12.866, 15.500, 14.133, 13.366
"Courtney Tulloch",    "GREAT BRITAIN", 13.933, NA,     14.500, 14.633, NA,     NA
"Yumin Abbadini",      "ITALY",         14.266, 14.400, 13.266, 13.866, NA,     14.333
"Lorenzo Casali",      "ITALY",         14.000, 13.600, 13.666, 14.600, 14.066, NA
"Matteo Levantesi",    "ITALY",         NA,     NA,     NA,     NA,     14.466, 13.833
"Marco Lodadio",       "ITALY",         NA,     NA,     14.400, NA,     NA,     NA
"Mario Macchiati",     "ITALY",         13.400, 14.266, NA,     14.366, 14.500, 13.266
"Adem Asil",           "TÜRKIYE",       13.300, 13.400, 14.666, 15.033, 14.100, 13.133
"Emre Dodanli",        "TÜRKIYE",       14.433, NA,     NA,     14.400, 13.900, 13.800
"Mert Efe Kilicer",    "TÜRKIYE",       NA,     13.433, NA,     NA,     NA,     13.300
"Mehmet Ayberk Kosak", "TÜRKIYE",       13.533, 11.666, 14.333, NA,     NA,     NA
"Kerem Sener",         "TÜRKIYE",       NA,     NA,     13.400, 14.466, 13.733, NA
"Nestor Abad",         "SPAIN",         13.966, NA,     13.866, 14.400, 12.766, 13.566
"Daniel Carrion",      "SPAIN",         NA,     13.266, NA,     14.200, NA,     NA
"Thierno Diallo",      "SPAIN",         NA,     13.433, NA,     NA,     14.166, NA
"Nicolau Mir",         "SPAIN",         13.633, NA,     13.466, 14.466, 14.433, 13.266
"Joel Plata",          "SPAIN",         14.066, 13.633, 13.200, NA,     NA,     13.933
"Artem Dolgopyat",     "ISRAEL",        15.100, NA,     13.000, 14.366, 13.800, 13.433
"Pavel Gulidov",       "ISRAEL",        NA,     NA,     13.366, 14.133, NA,     NA
"Ilia Liubimov",       "ISRAEL",        13.633, 14.166, NA,     13.733, 13.833, 12.100
"Alexander Myakinin",  "ISRAEL",        NA,     13.600, NA,     NA,     NA,     14.333
"Uri Zeidel",          "ISRAEL",        13.400, 13.300, 13.466, NA,     13.866, NA
"Georgios Angonas",    "CYPRUS",        NA,     NA,     NA,     14.000, 13.233, 13.300
"Michalis Chari",      "CYPRUS",        14.166, 12.666, NA,     NA,     NA,     NA
"Ilias Georgiou",      "CYPRUS",        13.900, 12.566, 13.333, 14.500, 13.566, 14.366
"Marios Georgiou",     "CYPRUS",        14.066, 14.400, 13.033, 11.966, 14.933, 14.400
"Sokratis Pilakouris", "CYPRUS",        NA,     NA,     14.000, NA,     NA,     NA
"Christian Baumann",   "SWITZERLAND",   NA,     NA,     13.800, NA,     14.066, NA
"Luca Giubellini",     "SWITZERLAND",   13.766, 12.266, NA,     14.733, NA,     NA
"Matteo Giubellini",   "SWITZERLAND",   13.533, 14.633, 13.433, 13.866, NA,     13.533
"Noe Seifert",         "SWITZERLAND",   NA,     12.633, 13.633, NA,     14.400, 12.266
"Taha Serhani",        "SWITZERLAND",   12.700, NA,     NA,     14.266, 13.966, 13.866
