MEET,      NAME,                  FX,     PH,     SR,     VT,     PB,     HB,     AA
"usa_nc2", "Brody Malone",        13.600, 14.000, 14.850, 14.400, 14.900, 14.600, 86.350
"usa_nc2", "Fred Richard",        14.900, 13.300, 14.300, 14.400, 14.600, 14.400, 85.900
"usa_nc2", "Khoi Young",          14.250, 15.000, 13.600, 14.850, 14.900, 13.550, 86.150
"usa_nc2", "Yul Moldauer",        14.700, 13.700, 14.100, 14.550, 15.400, 13.300, 85.750
"usa_nc2", "Shane Wiskus",        14.150, 13.700, 14.200, 14.300, 14.950, 13.500, 84.800
"usa_nc2", "Paul Juda",           13.700, 14.000, 13.950, 14.700, 14.050, 14.000, 84.400
"usa_nc2", "Donnell Whittenburg", 14.300, 13.150, 14.600, 14.600, 14.500, 12.350, 83.500
"usa_nc2", "Cameron Bock",        13.650, 13.900, 13.800, 14.100, 14.900, 13.750, 84.100
"usa_nc2", "Colt Walker",         14.100, 13.850, 13.800, 13.800, 14.850, 12.900, 83.300
"usa_nc2", "Asher Hong",          13.500, 12.950, 14.550, 14.550, 14.750, 12.450, 82.750
"usa_nc2", "Fuzzy Benas",         13.900, 13.900, 13.850, 13.450, 14.350, 13.450, 82.900
"usa_nc2", "Jeremy Bischoff",     14.150, 13.300, 13.500, 13.700, 14.350, 13.500, 82.500
"usa_nc2", "Riley Loos",          14.350, 13.450, 14.200, 14.000, 13.500, 13.200, 82.700
"usa_nc2", "Taylor Burkhart",     12.550, 13.200, 13.800, 14.500, 14.150, 13.950, 82.150
"usa_nc2", "Landen Blixt",        14.650, 13.050, 13.000, 14.300, 13.450, 13.300, 81.750
"usa_nc2", "Taylor Christopulos", 13.650, 11.650, 12.900, 14.050, 13.200, 13.300, 78.750
"usa_nc2", "Joshua Karnes",       12.950, 12.550, 13.600, 13.650, 14.450, 12.300, 79.500
"usa_nc2", "Samuel Phillips",     13.250, 12.500, 13.500, 13.800, 13.500, 12.450, 79.000
"usa_nc2", "Caden Clinton",       13.300, 12.100, 13.050, 12.200, 14.050, 13.550, 78.250
"usa_nc2", "Kiran Mandava",       13.150, 11.200, 13.100, 13.800, 13.350, 12.650, 77.250
"usa_nc2", "David Ramirez",       12.550, 13.050, 12.850, 14.150, 13.450, 12.250, 78.300
"usa_nc2", "Dallas Hale",         13.850, 10.900, 10.300, 14.100, 12.600, 11.150, 72.900
"usa_nc2", "Kai Uemura",          12.800, 10.000, 13.050, 13.350, 13.700, 12.000, 74.900
"usa_nc2", "Erich Upton",         12.900, 11.500, 11.300, 13.500, 13.250, 12.600, 75.050
"usa_nc2", "Tate Costa",          12.800, 12.200, 12.400, 13.650, 13.500, 12.850, 77.400
"usa_nc2", "Ian Gunther",         13.750, 0.000,  13.850, 13.700, 12.900, 13.550, 67.750
"usa_nc2", "Noah Newfeld",        13.500, 12.850, 13.350, NA,     13.450, NA,     NA
"usa_nc2", "Crew Bold",           13.250, NA,     NA,     NA,     13.900, 13.750, NA
"usa_nc2", "Javier Alfonso",      11.550, NA,     14.350, NA,     13.300, NA,     NA
"usa_nc2", "Curran Phillips",     NA,     NA,     NA,     NA,     NA,     NA,     NA
"usa_nc2", "Stephen Nedoroscik",  NA,     14.600, NA,     NA,     NA,     NA,     NA
"usa_nc2", "Alex Diab",           NA,     NA,     14.650, NA,     NA,     NA,     NA
"usa_nc2", "Patrick Hoopes",      NA,     14.300, NA,     NA,     NA,     NA,     NA
"usa_nc2", "Brandon Dang",        NA,     14.400, NA,     NA,     NA,     NA,     NA
